Equipo Local,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Equipo Visitante,Goles.1,Ataque.1,Medio.1,Defensa.1,Goles_Acumulados.1,Día,Hora,Jornada,Resultado,cod_est,tmin,tmed,tmax,prec,presmin,presmax,velmedia,rachaviento
Málaga,1,77,77,76,0,Osasuna,1,75,73,73,0,2016-08-19,20:45,1,1,6156X,"26,9","32,8","38,6","0,0","1002,8","1006,0","3,3","8,3"
Deportivo de La Coruña,2,77,77,76,0,Eibar,1,78,77,76,0,2016-08-19,22:00,1,2,1387,"18,1","21,0","23,8",Ip,"1001,6","1011,0","5,0","12,8"
Barcelona,6,92,85,83,0,Betis,2,79,76,74,0,2016-08-20,18:15,1,2,0076,"23,5","26,4","29,2","0,0","1011,6","1019,0","7,2","13,9"
Granada,1,78,73,72,0,Villarreal,1,79,81,79,0,2016-08-20,20:15,1,1,5530E,"16,1","26,1","36,1","0,0","949,6","952,9","2,8","10,8"
Sevilla,6,80,81,80,0,Espanyol,4,78,77,76,0,2016-08-20,22:15,1,2,5783,"21,6","29,7","37,8","0,0","1009,8","1013,4","4,2","13,3"
Sporting de Gijón,2,75,73,73,0,Athletic Club,1,80,81,79,0,2016-08-21,18:15,1,2,1207U,"12,2","18,3","24,4","0,0","1020,0","1023,0","2,5","10,0"
Real Sociedad,0,79,78,76,0,Real Madrid,3,88,86,86,0,2016-08-21,20:15,1,0,1014A,"15,7","19,8","24,0","0,0","1024,0","1026,5","2,2","6,1"
Atlético de Madrid,1,84,82,84,0,Alavés,1,73,76,75,0,2016-08-21,22:15,1,1,3195,"18,2","25,4","32,5","0,0","942,2","946,1","1,9","10,8"
Celta de Vigo,0,79,79,78,0,Leganés,1,74,76,75,0,2016-08-22,20:00,1,0,1495,"18,1","27,4","36,7","0,0","989,6","990,9","2,2","9,2"
Valencia,2,78,79,79,0,Las Palmas,4,77,79,76,0,2016-08-22,22:00,1,0,8414A,"20,6","25,4","30,3","0,0","1014,2","1016,8","3,9","11,4"
Betis,0,79,76,74,2,Deportivo de La Coruña,0,77,77,76,2,2016-08-26,20:45,2,1,5783,"22,6","31,3","40,0","0,0","1007,0","1012,7","3,6","11,7"
Espanyol,2,78,77,76,4,Málaga,2,77,77,76,1,2016-08-26,22:00,2,1,0076,"20,1","24,3","28,5","0,0","1016,4","1018,4","3,3","7,2"
