Equipo Local,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Equipo Visitante,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Día,Hora,Jornada,Resultado
Valencia,1,80,80,80,0,Las Palmas,0,77,74,75,0,18/08/2017,20:15,1,2
Leganés,1,74,75,74,0,Alavés,0,77,75,74,0,18/08/2017,22:15,1,2
Celta de Vigo,2,78,78,78,0,Real Sociedad,3,80,78,76,0,19/08/2017,18:15,1,0
Girona,2,79,76,75,0,Atlético de Madrid,2,85,82,83,0,19/08/2017,20:15,1,1
Sevilla,1,80,80,79,0,Espanyol,1,79,78,76,0,19/08/2017,22:15,1,1
Athletic Club,0,81,79,78,0,Getafe,0,75,74,75,0,20/08/2017,18:15,1,1
Barcelona,2,93,84,84,0,Betis,0,79,79,76,0,20/08/2017,20:15,1,2
Deportivo de La Coruña,0,79,77,77,0,Real Madrid,3,86,86,86,0,20/08/2017,22:15,1,0
Levante,1,75,76,75,0,Villarreal,0,79,79,80,0,21/08/2017,20:15,1,2
Málaga,0,75,75,75,0,Eibar,1,77,78,75,0,21/08/2017,22:00,1,0
Real Sociedad,3,80,78,76,3,Villarreal,0,79,79,80,0,25/08/2017,20:15,2,2
Betis,2,79,79,76,0,Celta de Vigo,1,78,78,78,2,25/08/2017,22:00,2,2
Alavés,0,77,75,74,0,Barcelona,2,93,84,84,2,26/08/2017,18:15,2,0
Levante,2,75,76,75,1,Deportivo de La Coruña,2,79,77,77,0,26/08/2017,20:15,2,1
Las Palmas,1,77,74,75,0,Atlético de Madrid,5,85,82,83,2,26/08/2017,20:15,2,0
Girona,1,79,76,75,2,Málaga,0,75,75,75,0,26/08/2017,22:15,2,2
Espanyol,0,79,78,76,1,Leganés,1,74,75,74,1,27/08/2017,18:15,2,0
Real Madrid,2,86,86,86,3,Valencia,2,80,80,80,1,27/08/2017,18:15,2,1
Getafe,0,75,74,75,0,Sevilla,1,80,80,79,1,27/08/2017,20:15,2,0
Eibar,0,77,78,75,1,Athletic Club,1,81,79,78,0,27/08/2017,22:15,2,0
Leganés,1,74,75,74,2,Getafe,2,75,74,75,0,08/09/2017,21:00,3,0
Valencia,0,80,80,80,3,Atlético de Madrid,0,85,82,83,7,09/09/2017,13:00,3,1
Real Madrid,1,86,86,86,5,Levante,1,75,76,75,3,09/09/2017,16:15,3,1
Sevilla,3,80,80,79,2,Eibar,0,77,78,75,1,09/09/2017,18:30,3,2
Barcelona,5,93,84,84,4,Espanyol,0,79,78,76,1,09/09/2017,20:45,3,2
Villarreal,3,79,79,80,0,Betis,1,79,79,76,2,10/09/2017,12:00,3,2
Deportivo de La Coruña,2,79,77,77,2,Real Sociedad,4,80,78,76,6,10/09/2017,16:15,3,0
Celta de Vigo,1,78,78,78,3,Alavés,0,77,75,74,0,10/09/2017,18:30,3,2
Athletic Club,2,81,79,78,1,Girona,0,79,76,75,3,10/09/2017,20:45,3,2
Málaga,1,75,75,75,0,Las Palmas,3,77,74,75,1,11/09/2017,21:00,3,0
Eibar,1,77,78,75,1,Leganés,0,74,75,74,3,15/09/2017,21:00,4,2
Getafe,1,75,74,75,2,Barcelona,2,93,84,84,9,16/09/2017,13:00,4,0
Betis,2,79,79,76,3,Deportivo de La Coruña,1,79,77,77,4,16/09/2017,16:15,4,2
Atlético de Madrid,1,85,82,83,7,Málaga,0,75,75,75,1,16/09/2017,18:30,4,2
Levante,1,75,76,75,4,Valencia,1,80,80,80,3,16/09/2017,20:45,4,1
Las Palmas,1,77,74,75,4,Athletic Club,0,81,79,78,3,17/09/2017,12:00,4,2
Girona,0,79,76,75,3,Sevilla,1,80,80,79,5,17/09/2017,16:15,4,0
Real Sociedad,1,80,78,76,10,Real Madrid,3,86,86,86,6,17/09/2017,18:30,4,0
Alavés,0,77,75,74,0,Villarreal,3,79,79,80,3,17/09/2017,20:45,4,0
Espanyol,2,79,78,76,1,Celta de Vigo,1,78,78,78,4,18/09/2017,21:00,4,2
Barcelona,6,93,84,84,11,Eibar,1,77,78,75,2,19/09/2017,20:00,5,2
Valencia,5,80,80,80,4,Málaga,0,75,75,75,1,19/09/2017,22:00,5,2
Athletic Club,1,81,79,78,3,Atlético de Madrid,2,85,82,83,8,20/09/2017,20:00,5,0
Sevilla,1,80,80,79,6,Las Palmas,0,77,74,75,5,20/09/2017,20:00,5,2
Deportivo de La Coruña,1,79,77,77,5,Alavés,0,77,75,74,0,20/09/2017,21:00,5,2
Real Madrid,0,86,86,86,9,Betis,1,79,79,76,5,20/09/2017,22:00,5,0
Leganés,0,74,75,74,3,Girona,0,79,76,75,3,20/09/2017,22:00,5,1
Celta de Vigo,1,78,78,78,5,Getafe,1,75,74,75,3,21/09/2017,20:00,5,1
